district,candidate,party,total_votes,won
Hawaii’s 1st district,Ron Curtis,REP,71188,False
Hawaii’s 2nd district,Kai Kahele,DEM,171517,True
Hawaii’s 2nd district,Joe Akana,REP,84027,False
Hawaii’s 2nd district,Michelle Tippens,LIB,6785,False
Hawaii’s 2nd district,Jonathan Hoomanawanui,ALO,6453,False
Hawaii’s 2nd district,Ron Burrus,NPT,2659,False
Hawaii’s 2nd district,John Giuffre,SHP,661,False
Idaho’s 1st district,Russ Fulcher,REP,310736,True
Idaho’s 1st district,Rudy Soto,DEM,131380,False
Idaho’s 1st district,Joe Evans,LIB,16453,False
Idaho’s 2nd district,Mike Simpson,REP,250668,True
Idaho’s 2nd district,Aaron Swisher,DEM,124151,False
Idaho’s 2nd district, Pro-Life,CST,8573,False
Idaho’s 2nd district,Idaho Law,LIB,7940,False
Illinois’s 1st district,Bobby Rush,DEM,238881,True
Illinois’s 1st district,Philanise White,REP,84702,False
Illinois’s 2nd district,Robin Kelly,DEM,232887,True
Illinois’s 2nd district,Theresa Raborn,REP,62835,False
Illinois’s 3rd district,Marie Newman,DEM,171886,True
Illinois’s 3rd district,Mike Fricilone,REP,133230,False
Illinois’s 4th district,"Jesus ""Chuy"" Garcia",DEM,185837,True
Illinois’s 4th district,Jesus Solorio,REP,35292,False
Illinois’s 5th district,Mike Quigley,DEM,254620,True
Illinois’s 5th district,Tom Hanson,REP,95791,False
Illinois’s 5th district,Thomas Wilda,GRN,9334,False
Illinois’s 6th district,Sean Casten,DEM,213188,True
Illinois’s 6th district,Jeanne Ives,REP,183490,False
Illinois’s 6th district,Bill Redpath,LIB,7063,False
Illinois’s 7th district,Danny Davis,DEM,247671,True
Illinois’s 7th district,Craig Cameron,REP,41156,False
Illinois’s 7th district,Tracy Jennings,IND,19201,False
Illinois’s 8th district,Raja Krishnamoorthi,DEM,185423,True
Illinois’s 8th district,Preston Nelson,LIB,68087,False
Illinois’s 9th district,Jan Schakowsky,DEM,260798,True
Illinois’s 9th district,Sargis Sangari,REP,106651,False
Illinois’s 10th district,Brad Schneider,DEM,198886,True
Illinois’s 10th district,Valerie Mukherjee,REP,113017,False
Illinois’s 10th district, Write-ins,WRI,0,False
Illinois’s 11th district,Bill Foster,DEM,194533,True
Illinois’s 11th district,Rick Laib,REP,112790,False
Illinois’s 12th district,Mike Bost,REP,192807,True
Illinois’s 12th district,Raymond Lenzi,DEM,125511,False
Illinois’s 13th district,Rodney Davis,REP,180176,True
Illinois’s 13th district,Betsy Londrigan,DEM,150316,False
Illinois’s 14th district,Lauren Underwood,DEM,202649,True
Illinois’s 14th district,Jim Oberweis,REP,197476,False
Illinois’s 15th district,Mary Miller,REP,230955,True
Illinois’s 15th district,Erika Weaver,DEM,91405,False
Illinois’s 16th district,Adam Kinzinger,REP,217149,True
Illinois’s 16th district,Dani Brzozowski,DEM,117904,False
Illinois’s 16th district, Write-ins,WRI,168,False
Illinois’s 17th district,Cheri Bustos,DEM,154441,True
Illinois’s 17th district,Esther Joy King,REP,142881,False
Illinois’s 18th district,Darin LaHood,REP,258093,True
Illinois’s 18th district,George Petrilli,DEM,107951,False
Indiana’s 1st district,Frank Mrvan,DEM,185180,True
Indiana’s 1st district,Mark Leyva,REP,132247,False
Indiana’s 1st district,Michael Strauss,LIB,9521,False
Indiana’s 2nd district,Jackie Walorski,REP,183601,True
Indiana’s 2nd district,Patricia Hackett,DEM,114967,False
Indiana’s 3rd district,Jim Banks,REP,220989,True
Indiana’s 3rd district,Chip Coldiron,DEM,104762,False
Indiana’s 4th district,Jim Baird,REP,225531,True
Indiana’s 4th district,Joe Mackey,DEM,112984,False
Indiana’s 5th district,Victoria Spartz,REP,208212,True
Indiana’s 5th district,Christina Hale,DEM,191226,False
Indiana’s 5th district,Ken Tucker,LIB,16788,False
Indiana’s 6th district,Greg Pence,REP,225318,True
Indiana’s 6th district,Jeannine Lake,DEM,91105,False
Indiana’s 6th district,Tom Ferkinhoff,LIB,11791,False
Indiana’s 7th district,Andre Carson,DEM,176422,True
Indiana’s 7th district,Susan Smith,REP,106146,False
Indiana’s 8th district,Larry Bucshon,REP,214643,True
Indiana’s 8th district,Thomasina Marsili,DEM,95691,False
Indiana’s 8th district,James Rodenberger,LIB,10283,False
Indiana’s 9th district,Trey Hollingsworth,REP,222070,True
Indiana’s 9th district,Andy Ruff,DEM,122580,False
Indiana’s 9th district,Tonya Millis,LIB,14416,False
Iowa’s 1st district,Ashley Hinson,REP,212088,True
Iowa’s 1st district,Abby Finkenauer,DEM,201347,False
Iowa’s 2nd district,Mariannette Miller-Meeks,REP,196862,True
Iowa’s 2nd district,Rita Hart,DEM,196815,False
Iowa’s 3rd district,Cindy Axne,DEM,219205,True
Iowa’s 3rd district,David Young,REP,212997,False
Iowa’s 3rd district,Bryan Holder,LIB,15361,False
Iowa’s 4th district,Randy Feenstra,REP,237369,True
Iowa’s 4th district,J.D. Scholten,DEM,144761,False
Kansas’s 1st district,Tracey Mann,REP,204275,True
Kansas’s 1st district,Kali Barnett,DEM,81561,False
Kansas’s 2nd district,Jake LaTurner,REP,182145,True
Kansas’s 2nd district,Michelle De La Isla,DEM,133354,False
Kansas’s 2nd district,Robert Garrard,LIB,13754,False
Kansas’s 3rd district,Sharice Davids,DEM,212604,True
Kansas’s 3rd district,Amanda Adkins,REP,174163,False
Kansas’s 3rd district,Steven Hohe,LIB,11119,False
Kansas’s 4th district,Ron Estes,REP,197433,True
Kansas’s 4th district,Laura Lombard,DEM,110922,False
Kentucky’s 1st district,James Comer,REP,246245,True
Kentucky’s 1st district,James Rhodes,DEM,82238,False
Kentucky’s 1st district, Write-ins,WRI,15,False
Kentucky’s 2nd district,Brett Guthrie,REP,255728,True
Kentucky’s 2nd district,Hank Linderman,DEM,94638,False
Kentucky’s 2nd district,Robert Perry,LIB,7588,False
Kentucky’s 2nd district,Lewis Carter,POP,2431,False
Kentucky’s 2nd district, Write-ins,WRI,3,False
Kentucky’s 3rd district,John Yarmuth,DEM,230603,True
Kentucky’s 3rd district,Rhonda Palazzo,REP,137396,False
Kentucky’s 4th district,Thomas Massie,REP,256599,True
Kentucky’s 4th district,Alexandra Owensby,DEM,125881,False
Kentucky’s 4th district, Write-ins,WRI,0,False
Kentucky’s 5th district,Hal Rogers,REP,250652,True
Kentucky’s 5th district,Matthew Best,DEM,47798,False
Kentucky’s 5th district, Write-ins,WRI,20,False
Kentucky’s 6th district,Andy Barr,REP,216927,True
Kentucky’s 6th district,Josh Hicks,DEM,154973,False
Kentucky’s 6th district,Frank Harris,LIB,6488,False
Kentucky’s 6th district, Write-ins,WRI,4,False
Louisiana’s 1st district,Steve Scalise,REP,270330,True
Louisiana’s 1st district,Lee Ann Dugas,DEM,94730,False
Louisiana’s 1st district,Howard Kearney,LIB,9309,False
Louisiana’s 2nd district,Cedric Richmond,DEM,201636,True
Louisiana’s 2nd district,David Schilling,REP,47575,False
Louisiana’s 2nd district,Glenn Harris,DEM,33684,False
Louisiana’s 2nd district,Sheldon Vincent,REP,15565,False
Louisiana’s 2nd district,Belden Batiste,IND,12268,False
Louisiana’s 2nd district,Colby James,IND,6254,False
Louisiana’s 3rd district,Clay Higgins,REP,230480,True
Louisiana’s 3rd district,Braylon Harris,DEM,60852,False
Louisiana’s 3rd district,Rob Anderson,DEM,39423,False
Louisiana’s 3rd district,Brandon Leleux,LIB,9365,False
Louisiana’s 4th district,Mike Johnson,REP,185265,True
Louisiana’s 4th district,Kenny Houston,DEM,78157,False
Louisiana’s 4th district,Ryan Trundle,DEM,23813,False
Louisiana’s 4th district,Ben Gibson,REP,19343,False
Louisiana’s 5th district,Luke Letlow,REP,102533,True
Louisiana’s 5th district,Lance Harris,REP,51240,False
Louisiana’s 5th district,Candy Christophe,DEM,50812,False
Louisiana’s 5th district,Martin Lemelle,DEM,32186,False
Louisiana’s 5th district,Scotty Robinson,REP,23887,False
Louisiana’s 5th district,Allen Guillory,REP,22496,False
Louisiana’s 5th district,Matt Hasty,REP,9834,False
Louisiana’s 5th district,Phillip Snowden,DEM,9432,False
Louisiana’s 5th district,Jesse Lagarde,DEM,7136,False
Louisiana’s 6th district,Garret Graves,REP,265706,True
Louisiana’s 6th district,Dartanyon Williams,DEM,95541,False
Louisiana’s 6th district,Shannon Sloan,LIB,9732,False
Louisiana’s 6th district,Richard Torregano,NPA,3017,False
Maine’s 1st district,Chellie Pingree,DEM,211905,True
Maine’s 1st district,Jay Allen,REP,139529,False
Maine’s 1st district, Write-ins,WRI,800,False
Maine’s 2nd district,Jared Golden,DEM,174734,True
Maine’s 2nd district,Dale Crafts,REP,150407,False
Maine’s 2nd district, Write-ins,WRI,1331,False
Maryland’s 1st district,Andy Harris,REP,250885,True
Maryland’s 1st district,Mia Mason,DEM,143857,False
Maryland’s 2nd district,Dutch Ruppersberger,DEM,224588,True
Maryland’s 2nd district,Johnny Salling,REP,106300,False
Maryland’s 3rd district,John Sarbanes,DEM,258894,True
Maryland’s 3rd district,Charles Anthony,REP,111760,False
Maryland’s 4th district,Anthony Brown,DEM,282119,True
Maryland’s 4th district,George McDermott,REP,71671,False
Maryland’s 5th district,Steny Hoyer,DEM,274210,True
Maryland’s 5th district,Chris Palombi,REP,123525,False
Maryland’s 6th district,David Trone,DEM,211005,True
Maryland’s 6th district,Neil Parrott,REP,142243,False
Maryland’s 6th district,George Gluck,GRN,6767,False
Maryland’s 7th district,Kweisi Mfume,DEM,236990,True
Maryland’s 7th district,Kimberly Klacik,REP,92770,False
Maryland’s 7th district, Write-ins,WRI,74,False
Maryland’s 8th district,Jamie Raskin,DEM,267817,True
Maryland’s 8th district,Gregory Coll,REP,125613,False
Massachusetts’s 1st district,Richard Neal,DEM,253357,True
Massachusetts’s 1st district, Write-ins,WRI,9866,False
Massachusetts’s 2nd district,Jim McGovern,DEM,248858,True
Massachusetts’s 2nd district,Tracy Lovvorn,REP,124835,False
Massachusetts’s 2nd district, Write-ins,WRI,540,False
Massachusetts’s 3rd district,Lori Trahan,DEM,245840,True
Massachusetts’s 3rd district, Write-ins,WRI,7462,False
Massachusetts’s 4th district,Jake Auchincloss,DEM,214977,True
Massachusetts’s 4th district,Julie Hall,REP,147243,False
Massachusetts’s 4th district, Write-ins,WRI,1690,False
Massachusetts’s 5th district,Katherine Clark,DEM,275104,True
Massachusetts’s 5th district,Caroline Colarusso,REP,96783,False
Massachusetts’s 5th district, Write-ins,WRI,1783,False
Massachusetts’s 6th district,Seth Moulton,DEM,265720,True
Massachusetts’s 6th district,John Moran,REP,138621,False
Massachusetts’s 6th district, Write-ins,WRI,674,False
Massachusetts’s 7th district,Ayanna Pressley,DEM,128137,True
Massachusetts’s 7th district,Roy Owens,IND,20808,False
Massachusetts’s 7th district, Write-ins,WRI,1259,False
Massachusetts’s 8th district,Stephen Lynch,DEM,248611,True
Massachusetts’s 8th district,Jonathan Lott,IND,60930,False
Massachusetts’s 8th district, Write-ins,WRI,1656,False
Massachusetts’s 9th district,Bill Keating,DEM,256158,True
Massachusetts’s 9th district,Helen Brady,REP,152416,False
Massachusetts’s 9th district,Michael Manley,IND,9629,False
Massachusetts’s 9th district, Write-ins,WRI,906,False
Michigan’s 1st district,Jack Bergman,REP,256644,True
Michigan’s 1st district,Dana Ferguson,DEM,154707,False
Michigan’s 1st district,Ben Boren,LIB,6315,False
Michigan’s 2nd district,Bill Huizenga,REP,238158,True
Michigan’s 2nd district,Bryan Berghoef,DEM,153998,False
Michigan’s 2nd district,Max Riekse,LIB,5286,False
Michigan’s 2nd district,Jean-Michel Creviere,GRN,2639,False
Michigan’s 2nd district,Gerald Van Sickle,TAX,2467,False
Michigan’s 3rd district,Peter Meijer,REP,213650,True
Michigan’s 3rd district,Hillary Scholten,DEM,189777,False
Michigan’s 4th district,John Moolenaar,REP,243373,True
Michigan’s 4th district,Jerry Hilliard,DEM,120836,False
Michigan’s 4th district,David Canny,LIB,5387,False
Michigan’s 4th district,Amy Slepr,GRN,4456,False
Michigan’s 5th district,Daniel Kildee,DEM,197840,True
Michigan’s 5th district,Tim Kelly,REP,151397,False
Michigan’s 5th district,Kathy Goodwin,WCP,8199,False
Michigan’s 5th district,James Harris,LIB,5494,False
Michigan’s 6th district,Fred Upton,REP,211496,True
Michigan’s 6th district,Jon Hoadley,DEM,152103,False
Michigan’s 6th district,Jeff DePoy,LIB,10399,False
Michigan’s 6th district,John Lawrence,GRN,4439,False
Michigan’s 7th district,Tim Walberg,REP,227518,True
Michigan’s 7th district,Gretchen Driskell,DEM,159752,False
Michigan’s 8th district,Elissa Slotkin,DEM,217929,True
Michigan’s 8th district,Paul Junge,REP,202519,False
Michigan’s 8th district,Joe Hartman,LIB,7896,False
Michigan’s 9th district,Andy Levin,DEM,231829,True
Michigan’s 9th district,Charles Langworthy,REP,153677,False
Michigan’s 9th district,Andrea Kirby,WCP,9030,False
Michigan’s 9th district,Mike Saliba,LIB,6549,False
Michigan’s 10th district,Lisa McClain,REP,271812,True
Michigan’s 10th district,Kimberly Bizon,DEM,138286,False
Michigan’s 11th district,Haley Stevens,DEM,226128,True
Michigan’s 11th district,Eric Esshaki,REP,215405,False
Michigan’s 11th district,Leonard Schwartz,LIB,8936,False
Michigan’s 12th district,Debbie Dingell,DEM,254991,True
Michigan’s 12th district,Jeff Jones,REP,117730,False
Michigan’s 12th district,Gary Walkowicz,WCP,11147,False
Michigan’s 13th district,Rashida Tlaib,DEM,223205,True
Michigan’s 13th district,David Dudenhoefer,REP,53311,False
Michigan’s 13th district,Sam Johnson,WCP,5284,False
Michigan’s 13th district,Etta Wilcoxon,GRN,2105,False
Michigan’s 13th district,Articia Bomer,TAX,1974,False
Michigan’s 14th district,Brenda Lawrence,DEM,271370,True
Michigan’s 14th district,R. Vance Patrick,REP,62664,False
Michigan’s 14th district,Lisa Gioia,LIB,3737,False
Michigan’s 14th district,Philip Kolody,WCP,2534,False
Michigan’s 14th district,Clyde Shabazz,GRN,1998,False
Minnesota’s 1st district,Jim Hagedorn,REP,179150,True
Minnesota’s 1st district,Dan Feehan,DEM,167877,False
Minnesota’s 1st district,Bill Rood,GRP,21441,False
Minnesota’s 2nd district,Angie Craig,DEM,203980,True
Minnesota’s 2nd district,Tyler Kistner,REP,194414,False
Minnesota’s 2nd district,Adam Weeks,LMN,24676,False
Minnesota’s 3rd district,Dean Phillips,DEM,243984,True
Minnesota’s 3rd district,Kendall Qualls,REP,194596,False
Minnesota’s 4th district,Betty McCollum,DEM,243503,True
Minnesota’s 4th district,Gene Rechtzigel,REP,111693,False
Minnesota’s 4th district,Susan Pendergast Sindt,LMN,29357,False
Minnesota’s 5th district,Ilhan Omar,DEM,255920,True
Minnesota’s 5th district,Lacy Johnson,REP,102878,False
Minnesota’s 5th district,Michael Moore,LMN,37978,False
Minnesota’s 6th district,Tom Emmer,REP,271153,True
Minnesota’s 6th district,Tawnja Zahradka,DEM,142469,False
Minnesota’s 7th district,Michelle Fischbach,REP,187483,True
Minnesota’s 7th district,Collin Peterson,DEM,141150,False
Minnesota’s 7th district,Slater Johnson,LMN,17154,False
Minnesota’s 7th district,Rae Hart Anderson,GRP,6271,False
Minnesota’s 8th district,Pete Stauber,REP,223363,True
Minnesota’s 8th district,Quinn Nystrom,DEM,147581,False
Minnesota’s 8th district,Judith Schwartzbacker,GRP,22114,False
Mississippi’s 1st district,Trent Kelly,REP,228731,True
Mississippi’s 1st district,Antonia Eliason,DEM,103994,False
Mississippi’s 1st district, Write-ins,WRI,280,False
Mississippi’s 2nd district,Bennie Thompson,DEM,196331,True
Mississippi’s 2nd district,Brian Flowers,REP,101037,False
Mississippi’s 2nd district, Write-ins,WRI,203,False
Mississippi’s 3rd district,Michael Guest,REP,220547,True
Mississippi’s 3rd district,Dorothy Benford,DEM,119880,False
Mississippi’s 4th district,Steven Palazzo,REP,255960,True
Mississippi’s 4th district, Write-ins,WRI,8670,False
Missouri’s 1st district,Cori Bush,DEM,249087,True
Missouri’s 1st district,Anthony Rogers,REP,59940,False
Missouri’s 1st district,Alex Furman,LIB,6766,False
Missouri’s 2nd district,Ann Wagner,REP,233094,True
Missouri’s 2nd district,Jill Schupp,DEM,204468,False
Missouri’s 2nd district,Martin Schulte,LIB,11643,False
Missouri’s 2nd district, Write-ins,WRI,71,False
Missouri’s 3rd district,Blaine Luetkemeyer,REP,282424,True
Missouri’s 3rd district,Megan Rezabek,DEM,116109,False
Missouri’s 3rd district,Leonard Steinman,LIB,8328,False
Missouri’s 4th district,Vicky Hartzler,REP,245109,True
Missouri’s 4th district,Lindsey Simmons,DEM,107582,False
Missouri’s 4th district,Steven Koonse,LIB,9945,False
Missouri’s 5th district,Emanuel Cleaver,DEM,205079,True
Missouri’s 5th district,Ryan Derks,REP,135677,False
Missouri’s 5th district,Robin Dominick,LIB,9234,False
Missouri’s 6th district,Sam Graves,REP,259030,True
Missouri’s 6th district,Gena Ross,DEM,120876,False
Missouri’s 6th district,Jim Higgins,LIB,8157,False
Missouri’s 7th district,Billy Long,REP,254366,True
Missouri’s 7th district,Teresa Montseny,DEM,98059,False
Missouri’s 7th district,Kevin Craig,LIB,15565,False
Missouri’s 8th district,Jason Smith,REP,253646,True
Missouri’s 8th district,Kathy Ellis,DEM,70504,False
Missouri’s 8th district,Tom Schmitz,LIB,5846,False
Montana at large,Matt Rosendale,REP,339169,True
Montana at large,Kathleen Williams,DEM,262340,False
Nebraska’s 1st district,Jeff Fortenberry,REP,188715,True
Nebraska’s 1st district,Kate Bolz,DEM,119400,False
Nebraska’s 1st district,Dennis Grace,LIB,8900,False
Nebraska’s 2nd district,Don Bacon,REP,170865,True
Nebraska’s 2nd district,Kara Eastman,DEM,155734,False
Nebraska’s 2nd district,Tyler Schaeffer,LIB,10170,False
Nebraska’s 3rd district,Adrian Smith,REP,225194,True
Nebraska’s 3rd district,Mark Elworth,DEM,50699,False
Nebraska’s 3rd district,Dustin Hobbs,LIB,10931,False
Nevada’s 1st district,Dina Titus,DEM,137868,True
Nevada’s 1st district,Joyce Bentley,REP,74490,False
Nevada’s 1st district,Kamau Bakari,IAP,6190,False
Nevada’s 1st district,Robert Strawder,LIB,4665,False
Nevada’s 2nd district,Mark Amodei,REP,216078,True
Nevada’s 2nd district,Patricia Ackerman,DEM,155780,False
Nevada’s 2nd district,Janine Hansen,IAP,10815,False
Nevada’s 3rd district,Susie Lee,DEM,203421,True
Nevada’s 3rd district,Dan Rodimer,REP,190975,False
Nevada’s 3rd district,Steve Brown,LIB,12315,False
Nevada’s 3rd district,Ed Bridges,IAP,10541,False
Nevada’s 4th district,Steven Horsford,DEM,168457,True
Nevada’s 4th district,Jim Marchant,REP,152284,False
Nevada’s 4th district,Jonathan Esteban,LIB,7978,False
Nevada’s 4th district,Barry Rubinson,IAP,3750,False
New Hampshire’s 1st district,Chris Pappas,DEM,205606,True
New Hampshire’s 1st district,Matt Mowers,REP,185159,False
New Hampshire’s 1st district,Zachary Dumont,LIB,9747,False
New Hampshire’s 1st district, Write-ins,WRI,83,False
New Hampshire’s 2nd district,Ann Kuster,DEM,208284,True
New Hampshire’s 2nd district,Steve Negron,REP,168873,False
New Hampshire’s 2nd district,Andrew Olding,LIB,9119,False
New Hampshire’s 2nd district, Write-ins,WRI,53,False
New Jersey’s 1st district,Donald Norcross,DEM,225041,True
New Jersey’s 1st district,Claire Gustafson,REP,135835,False
New Jersey’s 2nd district,Jeff Van Drew,REP,183035,True
New Jersey’s 2nd district,Amy Kennedy,DEM,163065,False
New Jersey’s 2nd district,Jenna Harvey,IND,3607,False
New Jersey’s 2nd district,Jesse Ehrnstrom,LIB,2730,False
New Jersey’s 3rd district,Andrew Kim,DEM,227555,True
New Jersey’s 3rd district,David Richter,REP,192797,False
New Jersey’s 3rd district,Martin Weber,IND,3625,False
New Jersey’s 3rd district,Robert Shapiro,IND,1827,False
New Jersey’s 4th district,Chris Smith,REP,250260,True
New Jersey’s 4th district,Stephanie Schmid,DEM,161462,False
New Jersey’s 4th district,Hank Schroeder,IND,3170,False
New Jersey’s 4th district,Michael Rufo,LIB,2548,False
New Jersey’s 4th district,Andrew Pachuta,IND,2049,False
New Jersey’s 5th district,Joshua Gottheimer,DEM,225043,True
New Jersey’s 5th district,Frank Pallotta,REP,193167,False
New Jersey’s 5th district,Louis Vellucci,IND,5125,False
New Jersey’s 6th district,Frank Pallone,DEM,195249,True
New Jersey’s 6th district,Christian Onuoha,REP,123730,False
New Jersey’s 7th district,Tom Malinowski,DEM,219629,True
New Jersey’s 7th district,Thomas Kean,REP,214315,False
New Jersey’s 8th district,Albio Sires,DEM,144049,True
New Jersey’s 8th district,Jason Mushnick,REP,42965,False
New Jersey’s 8th district,Dan Delaney,LIB,2368,False
New Jersey’s 9th district,Bill Pascrell,DEM,201135,True
New Jersey’s 9th district,Billy Prempeh,REP,96653,False
New Jersey’s 9th district,Chris Auriemma,IND,7067,False
New Jersey’s 10th district,Donald Payne,DEM,228055,True
New Jersey’s 10th district,Jennifer Zinone,REP,35740,False
New Jersey’s 10th district,Akil Khalfani,IND,3166,False
New Jersey’s 10th district,Khaliah Fitchette,IND,3129,False
New Jersey’s 10th district,John Mirrione,LIB,1018,False
New Jersey’s 11th district,Mikie Sherrill,DEM,235135,True
New Jersey’s 11th district,Rosemary Becchi,REP,205970,False
New Jersey’s 12th district,Bonnie Watson Coleman,DEM,227270,True
New Jersey’s 12th district,Mark Razzoli,REP,111942,False
New Jersey’s 12th district,Edward Forchion,IND,4420,False
New Jersey’s 12th district,Kenneth Cody,IND,1724,False
New Mexico’s 1st district,Debra Haaland,DEM,185336,True
New Mexico’s 1st district,Michelle Garcia Holmes,REP,133789,False
New Mexico’s 2nd district,Yvette Herrell,REP,141227,True
New Mexico’s 2nd district,Xochitl Torres Small,DEM,120766,False
New Mexico’s 2nd district, Write-ins,WRI,145,False
New Mexico’s 3rd district,Teresa Leger Fernandez,DEM,174452,True
New Mexico’s 3rd district,Alexis Johnson,REP,126711,False
New York’s 1st district,Lee Zeldin,REP,176323,True
